転出先都道府県,性別,年齢階級,転出者数
長崎県,総数,30-34歳,17
長崎県,男,15-19歳,1
長崎県,男,20-24歳,6
長崎県,男,25-29歳,6
長崎県,男,30-34歳,11
長崎県,女,15-19歳,1
長崎県,女,20-24歳,10
長崎県,女,25-29歳,3
長崎県,女,30-34歳,6
熊本県,総数,15-19歳,4
熊本県,総数,20-24歳,16
熊本県,総数,25-29歳,14
熊本県,総数,30-34歳,6
熊本県,男,15-19歳,3
熊本県,男,20-24歳,10
熊本県,男,25-29歳,9
熊本県,男,30-34歳,3
熊本県,女,15-19歳,1
熊本県,女,20-24歳,6
熊本県,女,25-29歳,5
熊本県,女,30-34歳,3
大分県,総数,15-19歳,5
大分県,総数,20-24歳,16
大分県,総数,25-29歳,15
大分県,総数,30-34歳,13
大分県,男,15-19歳,3
大分県,男,20-24歳,9
大分県,男,25-29歳,10
大分県,男,30-34歳,7
大分県,女,15-19歳,2
大分県,女,20-24歳,7
大分県,女,25-29歳,5
大分県,女,30-34歳,6
宮崎県,総数,15-19歳,2
宮崎県,総数,20-24歳,8
宮崎県,総数,25-29歳,7
宮崎県,総数,30-34歳,3
宮崎県,男,15-19歳,1
宮崎県,男,20-24歳,6
宮崎県,男,25-29歳,5
宮崎県,男,30-34歳,2
宮崎県,女,15-19歳,1
宮崎県,女,20-24歳,2
宮崎県,女,25-29歳,2
宮崎県,女,30-34歳,1
鹿児島県,総数,15-19歳,4
鹿児島県,総数,20-24歳,10
鹿児島県,総数,25-29歳,15
鹿児島県,総数,30-34歳,9
鹿児島県,男,15-19歳,3
鹿児島県,男,20-24歳,6
鹿児島県,男,25-29歳,9
鹿児島県,男,30-34歳,5
鹿児島県,女,15-19歳,1
鹿児島県,女,20-24歳,4
鹿児島県,女,25-29歳,6
鹿児島県,女,30-34歳,4
沖縄県,総数,15-19歳,6
沖縄県,総数,20-24歳,18
沖縄県,総数,25-29歳,20
沖縄県,総数,30-34歳,22
沖縄県,男,15-19歳,4
沖縄県,男,20-24歳,12
沖縄県,男,25-29歳,12
沖縄県,男,30-34歳,14
沖縄県,女,15-19歳,2
沖縄県,女,20-24歳,6
沖縄県,女,25-29歳,8
沖縄県,女,30-34歳,8
