都道府県,性別,年齢階級,転出超過数,人口,転出超過率(%)
宮城県,男,0歳～4歳,-14,40636,-0.0345
宮城県,男,5歳～9歳,-40,47279,-0.0846
宮城県,男,10歳～14歳,14,49724,0.0282
宮城県,男,15歳～19歳,390,56147,0.6946
宮城県,男,20歳～24歳,-635,58085,-1.0932
宮城県,男,25歳～29歳,-707,53942,-1.3107
宮城県,男,30歳～34歳,-167,61185,-0.2729
宮城県,男,35歳～39歳,-5,70073,-0.0071
宮城県,男,40歳～44歳,-20,79004,-0.0253
宮城県,男,45歳～49歳,-122,85542,-0.1426
宮城県,男,50歳～54歳,-71,74044,-0.0959
宮城県,男,55歳～59歳,-109,70243,-0.1552
宮城県,男,60歳～64歳,63,71245,0.0884
宮城県,男,65歳～69歳,29,78502,0.0369
宮城県,男,70歳～74歳,67,75682,0.0885
宮城県,男,75歳～79歳,18,51637,0.0349
宮城県,男,80歳～84歳,44,37800,0.1164
宮城県,男,85歳～89歳,23,23940,0.0961
宮城県,男,90歳以上,4,11357,0.0352
宮城県,女,0歳～4歳,-36,38518,-0.0935
宮城県,女,5歳～9歳,-8,44787,-0.0179
宮城県,女,10歳～14歳,11,47484,0.0232
宮城県,女,15歳～19歳,390,52990,0.736
宮城県,女,20歳～24歳,-672,54261,-1.2385
宮城県,女,25歳～29歳,-455,52737,-0.8628
宮城県,女,30歳～34歳,-187,59760,-0.3129
宮城県,女,35歳～39歳,-93,69818,-0.1332
宮城県,女,40歳～44歳,-16,77257,-0.0207
宮城県,女,45歳～49歳,-5,83448,-0.006
宮城県,女,50歳～54歳,-14,72523,-0.0193
宮城県,女,55歳～59歳,34,70921,0.0479
宮城県,女,60歳～64歳,39,73620,0.053
宮城県,女,65歳～69歳,55,82957,0.0663
宮城県,女,70歳～74歳,32,82285,0.0389
宮城県,女,75歳～79歳,34,62182,0.0547
宮城県,女,80歳～84歳,25,55254,0.0452
宮城県,女,85歳～89歳,16,44390,0.036
宮城県,女,90歳以上,42,32998,0.1273
秋田県,総数,0歳～4歳,10,25271,0.0396
秋田県,総数,5歳～9歳,-49,31304,-0.1565
秋田県,総数,10歳～14歳,-33,36098,-0.0914
秋田県,総数,15歳～19歳,-1161,36339,-3.1949
秋田県,総数,20歳～24歳,-1670,29192,-5.7207
秋田県,総数,25歳～29歳,-449,31955,-1.4051
秋田県,総数,30歳～34歳,-153,38607,-0.3963
秋田県,総数,35歳～39歳,-64,48498,-0.132
秋田県,総数,40歳～44歳,-103,58249,-0.1768
秋田県,総数,45歳～49歳,-78,62497,-0.1248
秋田県,総数,50歳～54歳,-23,58055,-0.0396
秋田県,総数,55歳～59歳,51,64453,0.0791
秋田県,総数,60歳～64歳,42,72842,0.0577
秋田県,総数,65歳～69歳,26,83852,0.031
秋田県,総数,70歳～74歳,-18,84106,-0.0214
秋田県,総数,75歳～79歳,-27,60499,-0.0446
秋田県,総数,80歳～84歳,-50,56433,-0.0886
秋田県,総数,85歳～89歳,-49,44247,-0.1107
秋田県,総数,90歳以上,-38,28431,-0.1337
秋田県,男,0歳～4歳,-2,12881,-0.0155
秋田県,男,5歳～9歳,-25,15966,-0.1566
秋田県,男,10歳～14歳,-23,18580,-0.1238
秋田県,男,15歳～19歳,-555,18712,-2.966
秋田県,男,20歳～24歳,-722,15432,-4.6786
秋田県,男,25歳～29歳,-236,16644,-1.4179
秋田県,男,30歳～34歳,-82,19668,-0.4169
秋田県,男,35歳～39歳,-37,24780,-0.1493
秋田県,男,40歳～44歳,-52,29906,-0.1739
秋田県,男,45歳～49歳,-34,31477,-0.108
秋田県,男,50歳～54歳,7,28686,0.0244
秋田県,男,55歳～59歳,38,31301,0.1214
秋田県,男,60歳～64歳,50,35316,0.1416
秋田県,男,65歳～69歳,35,40308,0.0868
秋田県,男,70歳～74歳,7,39605,0.0177
秋田県,男,75歳～79歳,-6,25622,-0.0234
秋田県,男,80歳～84歳,-12,21413,-0.056
秋田県,男,85歳～89歳,-18,14488,-0.1242
秋田県,男,90歳以上,-6,6552,-0.0916
秋田県,女,0歳～4歳,12,12390,0.0969
秋田県,女,5歳～9歳,-24,15338,-0.1565
秋田県,女,10歳～14歳,-10,17518,-0.0571
秋田県,女,15歳～19歳,-606,17627,-3.4379
秋田県,女,20歳～24歳,-948,13760,-6.8895
秋田県,女,25歳～29歳,-213,15311,-1.3912
秋田県,女,30歳～34歳,-71,18939,-0.3749
秋田県,女,35歳～39歳,-27,23718,-0.1138
秋田県,女,40歳～44歳,-51,28343,-0.1799
秋田県,女,45歳～49歳,-44,31020,-0.1418
秋田県,女,50歳～54歳,-30,29369,-0.1021
秋田県,女,55歳～59歳,13,33152,0.0392
秋田県,女,60歳～64歳,-8,37526,-0.0213
秋田県,女,65歳～69歳,-9,43544,-0.0207
秋田県,女,70歳～74歳,-25,44501,-0.0562
秋田県,女,75歳～79歳,-21,34877,-0.0602
秋田県,女,80歳～84歳,-38,35020,-0.1085
秋田県,女,85歳～89歳,-31,29759,-0.1042
秋田県,女,90歳以上,-32,21879,-0.1463
山形県,総数,0歳～4歳,38,34298,0.1108
山形県,総数,5歳～9歳,-55,40703,-0.1351
山形県,総数,10歳～14歳,-47,45085,-0.1042
山形県,総数,15歳～19歳,-890,46872,-1.8988
山形県,総数,20歳～24歳,-2315,39731,-5.8267
山形県,総数,25歳～29歳,-557,41004,-1.3584
山形県,総数,30歳～34歳,-159,48830,-0.3256
山形県,総数,35歳～39歳,-104,57811,-0.1799
山形県,総数,40歳～44歳,-32,66197,-0.0483
山形県,総数,45歳～49歳,-94,69537,-0.1352
山形県,総数,50歳～54歳,-113,64132,-0.1762
山形県,総数,55歳～59歳,-16,68753,-0.0233
山形県,総数,60歳～64歳,32,75952,0.0421
山形県,総数,65歳～69歳,40,85619,0.0467
山形県,総数,70歳～74歳,10,83299,0.012
山形県,総数,75歳～79歳,11,60975,0.018
山形県,総数,80歳～84歳,-1,54853,-0.0018
山形県,総数,85歳～89歳,-17,43740,-0.0389
山形県,総数,90歳以上,-12,31068,-0.0386
山形県,男,0歳～4歳,26,17653,0.1473
山形県,男,5歳～9歳,-39,20746,-0.188
山形県,男,10歳～14歳,-24,23192,-0.1035
山形県,男,15歳～19歳,-442,24160,-1.8295
山形県,男,20歳～24歳,-1082,21106,-5.1265
山形県,男,25歳～29歳,-359,21369,-1.68
山形県,男,30歳～34歳,-131,25006,-0.5239
山形県,男,35歳～39歳,-77,29524,-0.2608
山形県,男,40歳～44歳,-35,34036,-0.1028
山形県,男,45歳～49歳,-32,35068,-0.0913
山形県,男,50歳～54歳,-76,31932,-0.238
山形県,男,55歳～59歳,19,34049,0.0558
山形県,男,60歳～64歳,39,37442,0.1042
山形県,男,65歳～69歳,40,42192,0.0948
山形県,男,70歳～74歳,16,41078,0.039
山形県,男,75歳～79歳,20,27523,0.0727
山形県,男,80歳～84歳,5,22070,0.0227
山形県,男,85歳～89歳,-8,15004,-0.0533
山形県,男,90歳以上,0,7521,-0.0
山形県,女,0歳～4歳,12,16645,0.0721
山形県,女,5歳～9歳,-16,19957,-0.0802
山形県,女,10歳～14歳,-23,21893,-0.1051
山形県,女,15歳～19歳,-448,22712,-1.9725
山形県,女,20歳～24歳,-1233,18625,-6.6201
山形県,女,25歳～29歳,-198,19635,-1.0084
山形県,女,30歳～34歳,-28,23824,-0.1175
山形県,女,35歳～39歳,-27,28287,-0.0955
