都道府県,性別,年齢階級,転出超過数,人口,転出超過率(%)
群馬県,男,5歳～9歳,57,38478,0.1481
群馬県,男,10歳～14歳,-13,43363,-0.03
群馬県,男,15歳～19歳,83,46559,0.1783
群馬県,男,20歳～24歳,-1286,44577,-2.8849
群馬県,男,25歳～29歳,-582,45558,-1.2775
群馬県,男,30歳～34歳,-252,48586,-0.5187
群馬県,男,35歳～39歳,-51,54687,-0.0933
群馬県,男,40歳～44歳,31,64542,0.048
群馬県,男,45歳～49歳,-49,76223,-0.0643
群馬県,男,50歳～54歳,68,66162,0.1028
群馬県,男,55歳～59歳,57,59727,0.0954
群馬県,男,60歳～64歳,167,58083,0.2875
群馬県,男,65歳～69歳,196,66080,0.2966
群馬県,男,70歳～74歳,205,71974,0.2848
群馬県,男,75歳～79歳,263,51843,0.5073
群馬県,男,80歳～84歳,211,34999,0.6029
群馬県,男,85歳～89歳,134,20874,0.6419
群馬県,男,90歳以上,56,10390,0.539
群馬県,女,0歳～4歳,109,31450,0.3466
群馬県,女,5歳～9歳,46,37014,0.1243
群馬県,女,10歳～14歳,-8,40973,-0.0195
群馬県,女,15歳～19歳,-155,43874,-0.3533
群馬県,女,20歳～24歳,-1643,40394,-4.0674
群馬県,女,25歳～29歳,-305,39751,-0.7673
群馬県,女,30歳～34歳,-4,43418,-0.0092
群馬県,女,35歳～39歳,26,50805,0.0512
群馬県,女,40歳～44歳,50,60557,0.0826
群馬県,女,45歳～49歳,41,72346,0.0567
群馬県,女,50歳～54歳,73,63640,0.1147
群馬県,女,55歳～59歳,83,58781,0.1412
群馬県,女,60歳～64歳,79,57961,0.1363
群馬県,女,65歳～69歳,90,68731,0.1309
群馬県,女,70歳～74歳,91,77489,0.1174
群馬県,女,75歳～79歳,100,60548,0.1652
群馬県,女,80歳～84歳,147,47502,0.3095
群馬県,女,85歳～89歳,142,37014,0.3836
群馬県,女,90歳以上,117,29285,0.3995
埼玉県,総数,0歳～4歳,687,259281,0.265
埼玉県,総数,5歳～9歳,197,291527,0.0676
埼玉県,総数,10歳～14歳,51,307576,0.0166
埼玉県,総数,15歳～19歳,2528,326091,0.7752
埼玉県,総数,20歳～24歳,6372,365852,1.7417
埼玉県,総数,25歳～29歳,3390,363962,0.9314
埼玉県,総数,30歳～34歳,2989,383452,0.7795
埼玉県,総数,35歳～39歳,1617,432718,0.3737
埼玉県,総数,40歳～44歳,996,497191,0.2003
埼玉県,総数,45歳～49歳,347,599666,0.0579
埼玉県,総数,50歳～54歳,650,524655,0.1239
埼玉県,総数,55歳～59歳,350,446045,0.0785
埼玉県,総数,60歳～64歳,-57,395556,-0.0144
埼玉県,総数,65歳～69歳,-50,446006,-0.0112
埼玉県,総数,70歳～74歳,150,519102,0.0289
埼玉県,総数,75歳～79歳,409,417252,0.098
埼玉県,総数,80歳～84歳,515,291131,0.1769
埼玉県,総数,85歳～89歳,653,168730,0.387
埼玉県,総数,90歳以上,633,92773,0.6823
埼玉県,男,0歳～4歳,284,132269,0.2147
埼玉県,男,5歳～9歳,45,149221,0.0302
埼玉県,男,10歳～14歳,57,157681,0.0361
埼玉県,男,15歳～19歳,1231,167107,0.7367
埼玉県,男,20歳～24歳,2879,186022,1.5477
埼玉県,男,25歳～29歳,2356,185425,1.2706
埼玉県,男,30歳～34歳,2063,197618,1.0439
埼玉県,男,35歳～39歳,932,222544,0.4188
埼玉県,男,40歳～44歳,437,257372,0.1698
埼玉県,男,45歳～49歳,130,310464,0.0419
埼玉県,男,50歳～54歳,248,270044,0.0918
埼玉県,男,55歳～59歳,127,228466,0.0556
埼玉県,男,60歳～64歳,-117,199198,-0.0587
埼玉県,男,65歳～69歳,-141,218369,-0.0646
埼玉県,男,70歳～74歳,70,245122,0.0286
埼玉県,男,75歳～79歳,224,191865,0.1167
埼玉県,男,80歳～84歳,174,128728,0.1352
埼玉県,男,85歳～89歳,202,64382,0.3138
埼玉県,男,90歳以上,150,24314,0.6169
埼玉県,女,0歳～4歳,403,127012,0.3173
埼玉県,女,5歳～9歳,152,142306,0.1068
埼玉県,女,10歳～14歳,-6,149895,-0.004
埼玉県,女,15歳～19歳,1297,158984,0.8158
埼玉県,女,20歳～24歳,3493,179830,1.9424
埼玉県,女,25歳～29歳,1034,178537,0.5792
埼玉県,女,30歳～34歳,926,185834,0.4983
埼玉県,女,35歳～39歳,685,210174,0.3259
埼玉県,女,40歳～44歳,559,239819,0.2331
埼玉県,女,45歳～49歳,217,289202,0.075
埼玉県,女,50歳～54歳,402,254611,0.1579
埼玉県,女,55歳～59歳,223,217579,0.1025
埼玉県,女,60歳～64歳,60,196358,0.0306
埼玉県,女,65歳～69歳,91,227637,0.04
埼玉県,女,70歳～74歳,80,273980,0.0292
埼玉県,女,75歳～79歳,185,225387,0.0821
埼玉県,女,80歳～84歳,341,162403,0.21
埼玉県,女,85歳～89歳,451,104348,0.4322
埼玉県,女,90歳以上,483,68459,0.7055
千葉県,総数,0歳～4歳,1106,221053,0.5003
千葉県,総数,5歳～9歳,473,248798,0.1901
千葉県,総数,10歳～14歳,77,264645,0.0291
千葉県,総数,15歳～19歳,-522,281545,-0.1854
千葉県,総数,20歳～24歳,807,316219,0.2552
千葉県,総数,25歳～29歳,-764,311470,-0.2453
千葉県,総数,30歳～34歳,1624,329858,0.4923
千葉県,総数,35歳～39歳,1126,372869,0.302
千葉県,総数,40歳～44歳,505,423399,0.1193
千葉県,総数,45歳～49歳,547,507856,0.1077
千葉県,総数,50歳～54歳,515,447662,0.115
千葉県,総数,55歳～59歳,657,382032,0.172
千葉県,総数,60歳～64歳,324,342781,0.0945
千葉県,総数,65歳～69歳,255,387685,0.0658
千葉県,総数,70歳～74歳,195,452539,0.0431
千葉県,総数,75歳～79歳,190,360862,0.0527
千葉県,総数,80歳～84歳,201,254648,0.0789
千葉県,総数,85歳～89歳,283,155155,0.1824
千葉県,総数,90歳以上,236,89102,0.2649
千葉県,男,0歳～4歳,618,112943,0.5472
千葉県,男,5歳～9歳,205,127871,0.1603
千葉県,男,10歳～14歳,-8,135805,-0.0059
千葉県,男,15歳～19歳,-431,144597,-0.2981
千葉県,男,20歳～24歳,-1772,162510,-1.0904
千葉県,男,25歳～29歳,-425,159981,-0.2657
千葉県,男,30歳～34歳,885,170320,0.5196
千葉県,男,35歳～39歳,690,191804,0.3597
千葉県,男,40歳～44歳,268,217679,0.1231
千葉県,男,45歳～49歳,331,261384,0.1266
千葉県,男,50歳～54歳,265,230039,0.1152
千葉県,男,55歳～59歳,297,195269,0.1521
千葉県,男,60歳～64歳,124,171804,0.0722
千葉県,男,65歳～69歳,117,188296,0.0621
千葉県,男,70歳～74歳,124,214087,0.0579
千葉県,男,75歳～79歳,80,165601,0.0483
千葉県,男,80歳～84歳,92,112170,0.082
千葉県,男,85歳～89歳,81,59032,0.1372
千葉県,男,90歳以上,54,23607,0.2287
千葉県,女,0歳～4歳,488,108110,0.4514
千葉県,女,5歳～9歳,268,120927,0.2216
千葉県,女,10歳～14歳,85,128840,0.066
千葉県,女,15歳～19歳,-91,136948,-0.0664
千葉県,女,20歳～24歳,2579,153709,1.6778
千葉県,女,25歳～29歳,-339,151489,-0.2238
千葉県,女,30歳～34歳,739,159538,0.4632
千葉県,女,35歳～39歳,436,181065,0.2408
千葉県,女,40歳～44歳,237,205720,0.1152
千葉県,女,45歳～49歳,216,246472,0.0876
千葉県,女,50歳～54歳,250,217623,0.1149
千葉県,女,55歳～59歳,360,186763,0.1928
千葉県,女,60歳～64歳,200,170977,0.117
千葉県,女,65歳～69歳,138,199389,0.0692
千葉県,女,70歳～74歳,71,238452,0.0298
千葉県,女,75歳～79歳,110,195261,0.0563
千葉県,女,80歳～84歳,109,142478,0.0765
千葉県,女,85歳～89歳,202,96123,0.2101
千葉県,女,90歳以上,182,65495,0.2779
東京都,総数,0歳～4歳,-2483,521062,-0.4765
東京都,総数,5歳～9歳,-446,531824,-0.0839
東京都,総数,10歳～14歳,944,513954,0.1837
東京都,総数,15歳～19歳,12944,544076,2.3791
東京都,総数,20歳～24歳,57263,798823,7.1684
東京都,総数,25歳～29歳,20642,911945,2.2635
東京都,総数,30歳～34歳,544,917440,0.0593
東京都,総数,35歳～39歳,-1832,977812,-0.1874
東京都,総数,40歳～44歳,-2004,1036974,-0.1933
東京都,総数,45歳～49歳,-1455,1155011,-0.126
東京都,総数,50歳～54歳,-2414,1040280,-0.2321
東京都,総数,55歳～59歳,-3774,871685,-0.433
東京都,総数,60歳～64歳,-4222,690147,-0.6118
東京都,総数,65歳～69歳,-2562,678263,-0.3777
東京都,総数,70歳～74歳,-1610,784219,-0.2053
東京都,総数,75歳～79歳,-1591,630144,-0.2525
東京都,総数,80歳～84歳,-939,484955,-0.1936
東京都,総数,85歳～89歳,-995,333257,-0.2986
東京都,総数,90歳以上,-791,196984,-0.4016
東京都,男,0歳～4歳,-1368,266375,-0.5136
東京都,男,5歳～9歳,-214,271910,-0.0787
東京都,男,10歳～14歳,392,263549,0.1487
東京都,男,15歳～19歳,6326,276129,2.291
東京都,男,20歳～24歳,27278,396919,6.8724
東京都,男,25歳～29歳,10122,455638,2.2215
東京都,男,30歳～34歳,-345,462045,-0.0747
東京都,男,35歳～39歳,-1295,497623,-0.2602
東京都,男,40歳～44歳,-1114,526550,-0.2116
東京都,男,45歳～49歳,-986,581577,-0.1695
東京都,男,50歳～54歳,-1454,530006,-0.2743
東京都,男,55歳～59歳,-2008,447995,-0.4482
東京都,男,60歳～64歳,-2636,349242,-0.7548
東京都,男,65歳～69歳,-1717,334802,-0.5128
東京都,男,70歳～74歳,-1254,370863,-0.3381
東京都,男,75歳～79歳,-1155,275795,-0.4188
東京都,男,80歳～84歳,-654,194920,-0.3355
東京都,男,85歳～89歳,-373,118078,-0.3159
東京都,男,90歳以上,-206,51413,-0.4007
東京都,女,0歳～4歳,-1115,254687,-0.4378
東京都,女,5歳～9歳,-232,259914,-0.0893
東京都,女,10歳～14歳,552,250405,0.2204
東京都,女,15歳～19歳,6618,267947,2.4699
東京都,女,20歳～24歳,29985,401904,7.4607
東京都,女,25歳～29歳,10520,456307,2.3055
東京都,女,30歳～34歳,889,455395,0.1952
東京都,女,35歳～39歳,-537,480189,-0.1118
東京都,女,40歳～44歳,-890,510424,-0.1744
東京都,女,45歳～49歳,-469,573434,-0.0818
東京都,女,50歳～54歳,-960,510274,-0.1881
東京都,女,55歳～59歳,-1766,423690,-0.4168
東京都,女,60歳～64歳,-1586,340905,-0.4652
東京都,女,65歳～69歳,-845,343461,-0.246
東京都,女,70歳～74歳,-356,413356,-0.0861
東京都,女,75歳～79歳,-436,354349,-0.123
東京都,女,80歳～84歳,-285,290035,-0.0983
東京都,女,85歳～89歳,-622,215179,-0.2891
東京都,女,90歳以上,-585,145571,-0.4019
神奈川県,総数,0歳～4歳,-1706,331247,-0.515
神奈川県,総数,5歳～9歳,-431,368835,-0.1169
神奈川県,総数,10歳～14歳,-147,385681,-0.0381
神奈川県,総数,15歳～19歳,5271,411249,1.2817
神奈川県,総数,20歳～24歳,17363,487436,3.5621
神奈川県,総数,25歳～29歳,5834,478372,1.2196
神奈川県,総数,30歳～34歳,1201,492072,0.2441
神奈川県,総数,35歳～39歳,35,558799,0.0063
神奈川県,総数,40歳～44歳,114,640821,0.0178
神奈川県,総数,45歳～49歳,71,769873,0.0092
神奈川県,総数,50歳～54歳,89,710551,0.0125
神奈川県,総数,55歳～59歳,-253,593812,-0.0426
神奈川県,総数,60歳～64歳,-583,485933,-0.12
神奈川県,総数,65歳～69歳,-574,509399,-0.1127
神奈川県,総数,70歳～74歳,-196,597514,-0.0328
神奈川県,総数,75歳～79歳,279,484661,0.0576
神奈川県,総数,80歳～84歳,477,355718,0.1341
神奈川県,総数,85歳～89歳,690,227682,0.3031
神奈川県,総数,90歳以上,519,133604,0.3885
神奈川県,男,0歳～4歳,-878,169705,-0.5174
神奈川県,男,5歳～9歳,-245,189180,-0.1295
神奈川県,男,10歳～14歳,-86,197694,-0.0435
神奈川県,男,15歳～19歳,3231,210659,1.5338
神奈川県,男,20歳～24歳,9549,249915,3.8209
神奈川県,男,25歳～29歳,3344,247150,1.353
神奈川県,男,30歳～34歳,925,254070,0.3641
神奈川県,男,35歳～39歳,-18,286852,-0.0063
神奈川県,男,40歳～44歳,-29,328200,-0.0088
神奈川県,男,45歳～49歳,-176,392518,-0.0448
神奈川県,男,50歳～54歳,-62,366880,-0.0169
神奈川県,男,55歳～59歳,-238,307555,-0.0774
神奈川県,男,60歳～64歳,-584,246662,-0.2368
神奈川県,男,65歳～69歳,-460,250337,-0.1838
神奈川県,男,70歳～74歳,-240,282327,-0.085
神奈川県,男,75歳～79歳,-6,218763,-0.0027
神奈川県,男,80歳～84歳,105,153363,0.0685
神奈川県,男,85歳～89歳,135,84852,0.1591
神奈川県,男,90歳以上,117,36021,0.3248
神奈川県,女,0歳～4歳,-828,161542,-0.5126
神奈川県,女,5歳～9歳,-186,179655,-0.1035
神奈川県,女,10歳～14歳,-61,187987,-0.0324
神奈川県,女,15歳～19歳,2040,200590,1.017
神奈川県,女,20歳～24歳,7814,237521,3.2898
神奈川県,女,25歳～29歳,2490,231222,1.0769
神奈川県,女,30歳～34歳,276,238002,0.116
神奈川県,女,35歳～39歳,53,271947,0.0195
神奈川県,女,40歳～44歳,143,312621,0.0457
神奈川県,女,45歳～49歳,247,377355,0.0655
神奈川県,女,50歳～54歳,151,343671,0.0439
神奈川県,女,55歳～59歳,-15,286257,-0.0052
神奈川県,女,60歳～64歳,1,239271,0.0004
神奈川県,女,65歳～69歳,-114,259062,-0.044
神奈川県,女,70歳～74歳,44,315187,0.014
神奈川県,女,75歳～79歳,285,265898,0.1072
神奈川県,女,80歳～84歳,372,202355,0.1838
神奈川県,女,85歳～89歳,555,142830,0.3886
神奈川県,女,90歳以上,402,97583,0.412
新潟県,総数,0歳～4歳,66,71014,0.0929
新潟県,総数,5歳～9歳,-36,84737,-0.0425
新潟県,総数,10歳～14歳,-59,91729,-0.0643
新潟県,総数,15歳～19歳,-822,95565,-0.8601
新潟県,総数,20歳～24歳,-3762,85246,-4.4131
新潟県,総数,25歳～29歳,-1015,88454,-1.1475
新潟県,総数,30歳～34歳,-186,102530,-0.1814
新潟県,総数,35歳～39歳,-77,119188,-0.0646
新潟県,総数,40歳～44歳,-87,140684,-0.0618
新潟県,総数,45歳～49歳,-43,155676,-0.0276
新潟県,総数,50歳～54歳,-133,140685,-0.0945
新潟県,総数,55歳～59歳,-30,137900,-0.0218
新潟県,総数,60歳～64歳,73,144989,0.0503
新潟県,総数,65歳～69歳,10,168337,0.0059
新潟県,総数,70歳～74歳,24,175311,0.0137
新潟県,総数,75歳～79歳,-28,126620,-0.0221
新潟県,総数,80歳～84歳,-94,107739,-0.0872
新潟県,総数,85歳～89歳,-99,80491,-0.123
新潟県,総数,90歳以上,-81,57437,-0.141
新潟県,男,0歳～4歳,10,36373,0.0275
新潟県,男,5歳～9歳,-12,43385,-0.0277
新潟県,男,10歳～14歳,-32,47144,-0.0679
新潟県,男,15歳～19歳,-380,49245,-0.7717
新潟県,男,20歳～24歳,-1486,44518,-3.338
新潟県,男,25歳～29歳,-482,45755,-1.0534
新潟県,男,30歳～34歳,-53,52760,-0.1005
新潟県,男,35歳～39歳,-84,60880,-0.138
新潟県,男,40歳～44歳,-52,71947,-0.0723
新潟県,男,45歳～49歳,20,79065,0.0253
新潟県,男,50歳～54歳,-43,71243,-0.0604
新潟県,男,55歳～59歳,21,68967,0.0304
新潟県,男,60歳～64歳,96,72372,0.1326
新潟県,男,65歳～69歳,11,82377,0.0134
新潟県,男,70歳～74歳,32,84695,0.0378
新潟県,男,75歳～79歳,9,57041,0.0158
新潟県,男,80歳～84歳,-18,44040,-0.0409
新潟県,男,85歳～89歳,-25,27607,-0.0906
新潟県,男,90歳以上,-15,13843,-0.1084
新潟県,女,0歳～4歳,56,34641,0.1617
新潟県,女,5歳～9歳,-24,41352,-0.058
新潟県,女,10歳～14歳,-27,44585,-0.0606
新潟県,女,15歳～19歳,-442,46320,-0.9542
新潟県,女,20歳～24歳,-2276,40728,-5.5883
新潟県,女,25歳～29歳,-533,42699,-1.2483
新潟県,女,30歳～34歳,-133,49770,-0.2672
新潟県,女,35歳～39歳,7,58308,0.012
新潟県,女,40歳～44歳,-35,68737,-0.0509
新潟県,女,45歳～49歳,-63,76611,-0.0822
新潟県,女,50歳～54歳,-90,69442,-0.1296
新潟県,女,55歳～59歳,-51,68933,-0.074
新潟県,女,60歳～64歳,-23,72617,-0.0317
新潟県,女,65歳～69歳,-1,85960,-0.0012
新潟県,女,70歳～74歳,-8,90616,-0.0088
新潟県,女,75歳～79歳,-37,69579,-0.0532
新潟県,女,80歳～84歳,-76,63699,-0.1193
新潟県,女,85歳～89歳,-74,52884,-0.1399
新潟県,女,90歳以上,-66,43594,-0.1514
富山県,総数,0歳～4歳,16,33851,0.0473
富山県,総数,5歳～9歳,-14,38511,-0.0364
富山県,総数,10歳～14歳,-8,42815,-0.0187
富山県,総数,15歳～19歳,-423,45195,-0.9359
富山県,総数,20歳～24歳,-1269,42235,-3.0046
富山県,総数,25歳～29歳,-668,43502,-1.5356
富山県,総数,30歳～34歳,-211,46629,-0.4525
富山県,総数,35歳～39歳,15,53756,0.0279
富山県,総数,40歳～44歳,93,65466,0.1421
富山県,総数,45歳～49歳,23,80645,0.0285
富山県,総数,50歳～54歳,16,67192,0.0238
富山県,総数,55歳～59歳,53,62119,0.0853
富山県,総数,60歳～64歳,69,61313,0.1125
富山県,総数,65歳～69歳,34,70973,0.0479
富山県,総数,70歳～74歳,3,87909,0.0034
富山県,総数,75歳～79歳,-19,64667,-0.0294
富山県,総数,80歳～84歳,-11,48126,-0.0229
富山県,総数,85歳～89歳,5,36085,0.0139
富山県,総数,90歳以上,-28,25248,-0.1109
富山県,男,0歳～4歳,-13,17444,-0.0745
富山県,男,5歳～9歳,-16,19876,-0.0805
富山県,男,10歳～14歳,-8,21975,-0.0364
富山県,男,15歳～19歳,-178,23526,-0.7566
富山県,男,20歳～24歳,-475,22434,-2.1173
富山県,男,25歳～29歳,-417,23188,-1.7983
富山県,男,30歳～34歳,-113,24436,-0.4624
富山県,男,35歳～39歳,56,27771,0.2016
富山県,男,40歳～44歳,61,33804,0.1805
富山県,男,45歳～49歳,16,41154,0.0389
富山県,男,50歳～54歳,36,33794,0.1065
富山県,男,55歳～59歳,42,30669,0.1369
富山県,男,60歳～64歳,50,29967,0.1669
富山県,男,65歳～69歳,27,33950,0.0795
富山県,男,70歳～74歳,15,41514,0.0361
富山県,男,75歳～79歳,-2,28861,-0.0069
富山県,男,80歳～84歳,7,19327,0.0362
富山県,男,85歳～89歳,8,11985,0.0668
富山県,男,90歳以上,-5,6026,-0.083
富山県,女,0歳～4歳,29,16407,0.1768
富山県,女,5歳～9歳,2,18635,0.0107
富山県,女,10歳～14歳,0,20840,-0.0
富山県,女,15歳～19歳,-245,21669,-1.1306
富山県,女,20歳～24歳,-794,19801,-4.0099
富山県,女,25歳～29歳,-251,20314,-1.2356
富山県,女,30歳～34歳,-98,22193,-0.4416
富山県,女,35歳～39歳,-41,25985,-0.1578
富山県,女,40歳～44歳,32,31662,0.1011
富山県,女,45歳～49歳,7,39491,0.0177
富山県,女,50歳～54歳,-20,33398,-0.0599
富山県,女,55歳～59歳,11,31450,0.035
富山県,女,60歳～64歳,19,31346,0.0606
富山県,女,65歳～69歳,7,37023,0.0189
富山県,女,70歳～74歳,-12,46395,-0.0259
富山県,女,75歳～79歳,-17,35806,-0.0475
富山県,女,80歳～84歳,-18,28799,-0.0625
富山県,女,85歳～89歳,-3,24100,-0.0124
富山県,女,90歳以上,-23,19222,-0.1197
石川県,総数,0歳～4歳,-7,40920,-0.0171
石川県,総数,5歳～9歳,-39,46450,-0.084
石川県,総数,10歳～14歳,-76,49726,-0.1528
石川県,総数,15歳～19歳,208,54721,0.3801
石川県,総数,20歳～24歳,-1981,55044,-3.5989
石川県,総数,25歳～29歳,-577,50229,-1.1487
石川県,総数,30歳～34歳,-139,53930,-0.2577
石川県,総数,35歳～39歳,-45,60609,-0.0742
石川県,総数,40歳～44歳,-15,72852,-0.0206
石川県,総数,45歳～49歳,4,87548,0.0046
石川県,総数,50歳～54歳,0,73067,-0.0
石川県,総数,55歳～59歳,-8,67255,-0.0119
石川県,総数,60歳～64歳,17,66128,0.0257
石川県,総数,65歳～69歳,-4,73346,-0.0055
石川県,総数,70歳～74歳,-5,90196,-0.0055
石川県,総数,75歳～79歳,-9,64667,-0.0139
石川県,総数,80歳～84歳,-27,46432,-0.0581
石川県,総数,85歳～89歳,-34,34626,-0.0982
石川県,総数,90歳以上,-37,24393,-0.1517
石川県,男,0歳～4歳,-3,21077,-0.0142
石川県,男,5歳～9歳,-21,23815,-0.0882
石川県,男,10歳～14歳,-18,25212,-0.0714
石川県,男,15歳～19歳,195,28616,0.6814
石川県,男,20歳～24歳,-972,29551,-3.2892
石川県,男,25歳～29歳,-192,25871,-0.7421
石川県,男,30歳～34歳,-38,27546,-0.138
石川県,男,35歳～39歳,-49,30593,-0.1602
石川県,男,40歳～44歳,55,36973,0.1488
石川県,男,45歳～49歳,23,44308,0.0519
石川県,男,50歳～54歳,15,36270,0.0414
石川県,男,55歳～59歳,8,32838,0.0244
石川県,男,60歳～64歳,33,32002,0.1031
石川県,男,65歳～69歳,5,35181,0.0142
石川県,男,70歳～74歳,6,42582,0.0141
石川県,男,75歳～79歳,10,29027,0.0345
石川県,男,80歳～84歳,-4,18764,-0.0213
石川県,男,85歳～89歳,-8,11576,-0.0691
石川県,男,90歳以上,-10,5785,-0.1729
石川県,女,0歳～4歳,-4,19843,-0.0202
石川県,女,5歳～9歳,-18,22635,-0.0795
石川県,女,10歳～14歳,-58,24514,-0.2366
石川県,女,15歳～19歳,13,26105,0.0498
石川県,女,20歳～24歳,-1009,25493,-3.9579
石川県,女,25歳～29歳,-385,24358,-1.5806
石川県,女,30歳～34歳,-101,26384,-0.3828
石川県,女,35歳～39歳,4,30016,0.0133
石川県,女,40歳～44歳,-70,35879,-0.1951
石川県,女,45歳～49歳,-19,43240,-0.0439
石川県,女,50歳～54歳,-15,36797,-0.0408
石川県,女,55歳～59歳,-16,34417,-0.0465
石川県,女,60歳～64歳,-16,34126,-0.0469
石川県,女,65歳～69歳,-9,38165,-0.0236
石川県,女,70歳～74歳,-11,47614,-0.0231
石川県,女,75歳～79歳,-19,35640,-0.0533
石川県,女,80歳～84歳,-23,27668,-0.0831
石川県,女,85歳～89歳,-26,23050,-0.1128
石川県,女,90歳以上,-27,18608,-0.1451
福井県,総数,0歳～4歳,31,28033,0.1106
福井県,総数,5歳～9歳,-32,32208,-0.0994
福井県,総数,10歳～14歳,-3,35303,-0.0085
福井県,総数,15歳～19歳,-337,35201,-0.9574
福井県,総数,20歳～24歳,-1579,31770,-4.9701
福井県,総数,25歳～29歳,-686,33774,-2.0311
福井県,総数,30歳～34歳,-230,37333,-0.6161
福井県,総数,35歳～39歳,-39,41727,-0.0935
福井県,総数,40歳～44歳,-14,48168,-0.0291
福井県,総数,45歳～49歳,-67,55506,-0.1207
福井県,総数,50歳～54歳,-104,47970,-0.2168
福井県,総数,55歳～59歳,41,48332,0.0848
福井県,総数,60歳～64歳,-14,48203,-0.029
福井県,総数,65歳～69歳,-41,53020,-0.0773
福井県,総数,70歳～74歳,2,58338,0.0034
福井県,総数,75歳～79歳,3,42934,0.007
福井県,総数,80歳～84歳,-18,33678,-0.0534
福井県,総数,85歳～89歳,-44,26165,-0.1682
福井県,総数,90歳以上,-26,18549,-0.1402
福井県,男,0歳～4歳,17,14365,0.1183
福井県,男,5歳～9歳,1,16595,0.006
福井県,男,10歳～14歳,1,18141,0.0055
福井県,男,15歳～19歳,-148,18327,-0.8076
福井県,男,20歳～24歳,-646,16773,-3.8514
福井県,男,25歳～29歳,-361,17804,-2.0276
福井県,男,30歳～34歳,-151,19172,-0.7876
福井県,男,35歳～39歳,-44,21205,-0.2075
福井県,男,40歳～44歳,-15,24645,-0.0609
福井県,男,45歳～49歳,-56,28242,-0.1983
福井県,男,50歳～54歳,-61,23892,-0.2553
福井県,男,55歳～59歳,41,24029,0.1706
福井県,男,60歳～64歳,0,23665,-0.0
福井県,男,65歳～69歳,-16,25802,-0.062
福井県,男,70歳～74歳,9,28083,0.032
福井県,男,75歳～79歳,8,19344,0.0414
福井県,男,80歳～84歳,-3,13708,-0.0219
福井県,男,85歳～89歳,-11,9148,-0.1202
福井県,男,90歳以上,-8,4683,-0.1708
福井県,女,0歳～4歳,14,13668,0.1024
福井県,女,5歳～9歳,-33,15613,-0.2114
福井県,女,10歳～14歳,-4,17162,-0.0233
福井県,女,15歳～19歳,-189,16874,-1.1201
福井県,女,20歳～24歳,-933,14997,-6.2212
福井県,女,25歳～29歳,-325,15970,-2.0351
福井県,女,30歳～34歳,-79,18161,-0.435
福井県,女,35歳～39歳,5,20522,0.0244
福井県,女,40歳～44歳,1,23523,0.0043
福井県,女,45歳～49歳,-11,27264,-0.0403
福井県,女,50歳～54歳,-43,24078,-0.1786
福井県,女,55歳～59歳,0,24303,-0.0
福井県,女,60歳～64歳,-14,24538,-0.0571
福井県,女,65歳～69歳,-25,27218,-0.0919
福井県,女,70歳～74歳,-7,30255,-0.0231
福井県,女,75歳～79歳,-5,23590,-0.0212
福井県,女,80歳～84歳,-15,19970,-0.0751
福井県,女,85歳～89歳,-33,17017,-0.1939
福井県,女,90歳以上,-18,13866,-0.1298
山梨県,総数,0歳～4歳,75,26992,0.2779
山梨県,総数,5歳～9歳,19,30718,0.0619
山梨県,総数,10歳～14歳,6,33919,0.0177
山梨県,総数,15歳～19歳,118,38966,0.3028
山梨県,総数,20歳～24歳,-1715,35654,-4.8101
山梨県,総数,25歳～29歳,-239,33762,-0.7079
山梨県,総数,30歳～34歳,-7,36423,-0.0192
山梨県,総数,35歳～39歳,89,41557,0.2142
山梨県,総数,40歳～44歳,136,48494,0.2804
山梨県,総数,45歳～49歳,128,58006,0.2207
山梨県,総数,50歳～54歳,144,55685,0.2586
山梨県,総数,55歳～59歳,69,53201,0.1297
山梨県,総数,60歳～64歳,104,51885,0.2004
山梨県,総数,65歳～69歳,77,56979,0.1351
山梨県,総数,70歳～74歳,80,60154,0.133
山梨県,総数,75歳～79歳,29,46614,0.0622
山梨県,総数,80歳～84歳,-2,36102,-0.0055
山梨県,総数,85歳～89歳,38,26461,0.1436
山梨県,総数,90歳以上,-11,19574,-0.0562
山梨県,男,0歳～4歳,22,13761,0.1599
山梨県,男,5歳～9歳,-4,15636,-0.0256
山梨県,男,10歳～14歳,10,17383,0.0575
山梨県,男,15歳～19歳,23,20307,0.1133
山梨県,男,20歳～24歳,-699,18654,-3.7472
山梨県,男,25歳～29歳,-73,17831,-0.4094
山梨県,男,30歳～34歳,-52,18937,-0.2746
山梨県,男,35歳～39歳,44,21269,0.2069
山梨県,男,40歳～44歳,95,24613,0.386
山梨県,男,45歳～49歳,67,29602,0.2263
山梨県,男,50歳～54歳,97,28141,0.3447
山梨県,男,55歳～59歳,11,26686,0.0412
山梨県,男,60歳～64歳,53,25687,0.2063
山梨県,男,65歳～69歳,45,28078,0.1603
山梨県,男,70歳～74歳,45,28879,0.1558
山梨県,男,75歳～79歳,24,21223,0.1131
山梨県,男,80歳～84歳,-12,15151,-0.0792
山梨県,男,85歳～89歳,9,9535,0.0944
山梨県,男,90歳以上,-6,5183,-0.1158
山梨県,女,0歳～4歳,53,13231,0.4006
山梨県,女,5歳～9歳,23,15082,0.1525
山梨県,女,10歳～14歳,-4,16536,-0.0242
山梨県,女,15歳～19歳,95,18659,0.5091
山梨県,女,20歳～24歳,-1016,17000,-5.9765
