種別,都道府県,年次,性別,年齢階級,人数
転入者数,宮城県,2025年,男,総数,24512
転入者数,宮城県,2025年,男,0歳～4歳,891
転入者数,宮城県,2025年,男,5歳～9歳,503
転入者数,宮城県,2025年,男,10歳～14歳,255
転入者数,宮城県,2025年,男,15歳～19歳,2163
転入者数,宮城県,2025年,男,20歳～24歳,5545
転入者数,宮城県,2025年,男,25歳～29歳,4280
転入者数,宮城県,2025年,男,30歳～34歳,2640
転入者数,宮城県,2025年,男,35歳～39歳,1943
転入者数,宮城県,2025年,男,40歳～44歳,1482
転入者数,宮城県,2025年,男,45歳～49歳,1203
転入者数,宮城県,2025年,男,50歳～54歳,1293
転入者数,宮城県,2025年,男,55歳～59歳,927
転入者数,宮城県,2025年,男,60歳～64歳,553
転入者数,宮城県,2025年,男,65歳～69歳,302
転入者数,宮城県,2025年,男,70歳～74歳,199
転入者数,宮城県,2025年,男,75歳～79歳,130
転入者数,宮城県,2025年,男,80歳～84歳,101
転入者数,宮城県,2025年,男,85歳～89歳,67
転入者数,宮城県,2025年,男,90歳以上,35
転入者数,宮城県,2025年,女,総数,18329
転入者数,宮城県,2025年,女,0歳～4歳,857
転入者数,宮城県,2025年,女,5歳～9歳,496
転入者数,宮城県,2025年,女,10歳～14歳,270
転入者数,宮城県,2025年,女,15歳～19歳,1557
転入者数,宮城県,2025年,女,20歳～24歳,4596
転入者数,宮城県,2025年,女,25歳～29歳,3147
転入者数,宮城県,2025年,女,30歳～34歳,1945
転入者数,宮城県,2025年,女,35歳～39歳,1196
転入者数,宮城県,2025年,女,40歳～44歳,923
転入者数,宮城県,2025年,女,45歳～49歳,732
転入者数,宮城県,2025年,女,50歳～54歳,742
転入者数,宮城県,2025年,女,55歳～59歳,535
転入者数,宮城県,2025年,女,60歳～64歳,346
転入者数,宮城県,2025年,女,65歳～69歳,213
転入者数,宮城県,2025年,女,70歳～74歳,170
転入者数,宮城県,2025年,女,75歳～79歳,179
転入者数,宮城県,2025年,女,80歳～84歳,161
転入者数,宮城県,2025年,女,85歳～89歳,146
転入者数,宮城県,2025年,女,90歳以上,118
転入者数,秋田県,2025年,総数,総数,9849
転入者数,秋田県,2025年,総数,0歳～4歳,381
転入者数,秋田県,2025年,総数,5歳～9歳,208
転入者数,秋田県,2025年,総数,10歳～14歳,108
転入者数,秋田県,2025年,総数,15歳～19歳,660
転入者数,秋田県,2025年,総数,20歳～24歳,2134
