"統計名：","住民基本台帳人口移動報告 年報（実数）"
"表番号：","1"
"表題：","男女別都道府県内移動者数，他都道府県からの転入者数及び他都道府県への転出者数－全国，都道府県，３大都市圏（東京圏，名古屋圏，大阪圏），21大都市（移動者，日本人移動者，外国人移動者）（2010年～）"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査していないため該当数値がないもの"
"-","定義上該当数値がないもの"

"","","","","","","","","","/表章項目 コード","01","01","01","02","02","02","03","03","03","04","04","04"
"","","","","","","","","","/表章項目 補助コード","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","/表章項目","都道府県（自都市）内移動者数【人】","都道府県（自都市）内移動者数【人】","都道府県（自都市）内移動者数【人】","他都道府県（他市町村）からの転入者数【人】","他都道府県（他市町村）からの転入者数【人】","他都道府県（他市町村）からの転入者数【人】","他都道府県（他市町村）への転出者数【人】","他都道府県（他市町村）への転出者数【人】","他都道府県（他市町村）への転出者数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】"
"","","","","","","","","","/性別 コード","0","1","2","0","1","2","0","1","2","0","1","2"
"","","","","","","","","","/性別 補助コード","-","-","-","-","-","-","-","-","-","-","-","-"
"国籍 コード","国籍 補助コード","国籍","時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","地域 コード","地域 補助コード","地域","/性別","総数","男","女","総数","男","女","総数","男","女","総数","男","女"
"60000","","移動者","2025000000","","2025年","51000","","東京圏","","1,472,192","768,299","703,893","515,892","283,081","232,811","392,358","228,411","163,947","123,534","54,670","68,864"
"60000","","移動者","2025000000","","2025年","52000","","名古屋圏","","313,690","170,236","143,454","133,292","80,934","52,358","145,987","86,525","59,462","-12,695","-5,591","-7,104"
"60000","","移動者","2025000000","","2025年","53000","","大阪圏","","543,511","276,336","267,175","228,360","125,522","102,838","219,618","124,125","95,493","8,742","1,397","7,345"
"60000","","移動者","2025000000","","2025年","00416","","21大都市計","","809,651","408,577","401,074","1,388,218","741,972","646,246","1,286,230","699,100","587,130","101,988","42,872","59,116"
"60000","","移動者","2025000000","","2025年","01100","","札幌市","","52,362","25,176","27,186","59,383","32,458","26,925","48,548","26,919","21,629","10,835","5,539","5,296"
"60000","","移動者","2025000000","","2025年","04100","","仙台市","","19,151","9,441","9,710","39,392","21,566","17,826","37,789","20,951","16,838","1,603","615","988"
"60000","","移動者","2025000000","","2025年","11100","","さいたま市","","18,254","9,076","9,178","58,349","31,091","27,258","50,514","27,368","23,146","7,835","3,723","4,112"
"60000","","移動者","2025000000","","2025年","12100","","千葉市","","11,738","6,037","5,701","42,465","23,128","19,337","36,434","19,878","16,556","6,031","3,250","2,781"
"60000","","移動者","2025000000","","2025年","13100","","東京都特別区部","","306,398","156,702","149,696","394,031","205,951","188,080","354,834","191,434","163,400","39,197","14,517","24,680"
"60000","","移動者","2025000000","","2025年","14100","","横浜市","","66,154","33,567","32,587","129,572","69,737","59,835","118,274","64,365","53,909","11,298","5,372","5,926"
"60000","","移動者","2025000000","","2025年","14130","","川崎市","","16,058","8,258","7,800","81,519","43,920","37,599","73,630","39,622","34,008","7,889","4,298","3,591"
"60000","","移動者","2025000000","","2025年","14150","","相模原市","","4,684","2,465","2,219","26,889","14,352","12,537","24,637","13,153","11,484","2,252","1,199","1,053"
"60000","","移動者","2025000000","","2025年","15100","","新潟市","","9,946","4,762","5,184","16,297","9,046","7,251","16,435","8,912","7,523","-138","134","-272"
"60000","","移動者","2025000000","","2025年","22100","","静岡市","","6,650","3,294","3,356","16,931","9,530","7,401","17,773","10,060","7,713","-842","-530","-312"
"60000","","移動者","2025000000","","2025年","22130","","浜松市","","4,259","2,205","2,054","17,891","10,459","7,432","18,761","10,811","7,950","-870","-352","-518"
"60000","","移動者","2025000000","","2025年","23100","","名古屋市","","57,855","29,862","27,993","91,473","50,705","40,768","85,984","48,940","37,044","5,489","1,765","3,724"
"60000","","移動者","2025000000","","2025年","26100","","京都市","","26,304","12,857","13,447","45,289","23,453","21,836","46,099","23,922","22,177","-810","-469","-341"
"60000","","移動者","2025000000","","2025年","27100","","大阪市","","77,793","39,727","38,066","123,654","65,473","58,181","113,813","61,223","52,590","9,841","4,250","5,591"
"60000","","移動者","2025000000","","2025年","27140","","堺市","","10,043","4,970","5,073","25,466","13,416","12,050","24,338","12,950","11,388","1,128","466","662"
"60000","","移動者","2025000000","","2025年","28100","","神戸市","","24,000","11,815","12,185","43,577","22,702","20,875","43,982","23,064","20,918","-405","-362","-43"
"60000","","移動者","2025000000","","2025年","33100","","岡山市","","9,283","4,624","4,659","20,493","11,091","9,402","22,297","12,219","10,078","-1,804","-1,128","-676"
"60000","","移動者","2025000000","","2025年","34100","","広島市","","21,386","10,609","10,777","32,915","18,219","14,696","35,257","19,686","15,571","-2,342","-1,467","-875"
"60000","","移動者","2025000000","","2025年","40100","","北九州市","","13,888","7,067","6,821","24,130","13,744","10,386","26,168","14,564","11,604","-2,038","-820","-1,218"
"60000","","移動者","2025000000","","2025年","40130","","福岡市","","40,279","19,715","20,564","74,239","38,678","35,561","66,064","35,642","30,422","8,175","3,036","5,139"
"60000","","移動者","2025000000","","2025年","43100","","熊本市","","13,166","6,348","6,818","24,263","13,253","11,010","24,599","13,417","11,182","-336","-164","-172"
"60000","","移動者","2024000000","","2024年","00000","","全国","","2,684,497","1,382,081","1,302,416","2,523,249","1,409,760","1,113,489","2,523,249","1,409,760","1,113,489","0","0","0"
"60000","","移動者","2024000000","","2024年","01000","","北海道","","171,133","89,388","81,745","53,281","31,816","21,465","59,566","33,697","25,869","-6,285","-1,881","-4,404"
"60000","","移動者","2024000000","","2024年","02000","","青森県","","13,891","7,184","6,707","15,970","9,467","6,503","21,255","11,966","9,289","-5,285","-2,499","-2,786"
"60000","","移動者","2024000000","","2024年","03000","","岩手県","","15,379","7,934","7,445","15,538","9,264","6,274","20,411","11,207","9,204","-4,873","-1,943","-2,930"
"60000","","移動者","2024000000","","2024年","04000","","宮城県","","50,849","25,143","25,706","43,537","24,660","18,877","46,526","26,546","19,980","-2,989","-1,886","-1,103"
"60000","","移動者","2024000000","","2024年","05000","","秋田県","","8,262","4,358","3,904","10,083","5,903","4,180","13,365","7,199","6,166","-3,282","-1,296","-1,986"
"60000","","移動者","2024000000","","2024年","06000","","山形県","","12,395","6,387","6,008","12,044","6,913","5,131","15,920","8,794","7,126","-3,876","-1,881","-1,995"
"60000","","移動者","2024000000","","2024年","07000","","福島県","","22,967","12,182","10,785","23,506","13,954","9,552","30,189","17,232","12,957","-6,683","-3,278","-3,405"
"60000","","移動者","2024000000","","2024年","08000","","茨城県","","43,473","23,422","20,051","55,186","32,846","22,340","61,226","35,576","25,650","-6,040","-2,730","-3,310"
"60000","","移動者","2024000000","","2024年","09000","","栃木県","","22,837","11,695","11,142","37,694","22,560","15,134","39,215","22,536","16,679","-1,521","24","-1,545"
